,bucket_0,bucket_1,bucket_2,bucket_3,steps,train_perplex
0,46.1530286701,87.0992824001,110.835159959,293.303705737,50,208.247525353
1,43.6579773422,52.5839367646,74.8381397209,164.016886183,100,71.3904444475
2,40.1347436334,36.4950295638,58.3742844305,108.390347558,150,43.8399092178
3,29.295872959,30.9961106119,43.6372581942,94.5667031551,200,31.3576469582
4,36.4132093294,30.0811352422,29.4899888903,75.0443291865,250,22.1377703085
5,29.2874646106,28.5099691378,37.8522294491,91.1781238852,300,17.9159968687
6,24.1682435223,27.1162513321,31.0991880522,76.1935813958,350,16.7388443756
7,39.0025081493,23.1328119606,26.7207825967,58.8173373645,400,15.5408824006
8,23.9235102893,22.3651274905,35.5149141928,64.2898702875,450,13.4172532312
9,36.9280034848,28.3937078031,33.3865127336,86.9656099462,500,11.2900659617
10,26.4577450757,20.6288135426,36.7517754068,59.7929656865,550,11.4297072019
11,26.9582815316,22.5432265613,30.2206644518,63.0283865505,600,9.9255071169
12,15.4593318442,25.5523450075,32.4868902121,63.5856071575,650,9.36961967304
13,19.0305555745,31.4022524783,39.5962832366,96.6819177409,700,8.68116893418
14,25.3666881444,26.2585283963,30.9251661679,78.0971115053,750,8.89193740063
15,17.6676635324,34.5740849025,38.5487493216,76.9979355326,800,8.00671812451
16,23.0473727972,21.0473241585,38.3324021433,93.4445134161,850,8.16762082363
17,36.193346143,27.3325236435,39.4018913865,77.3506219379,900,7.40543256995
18,45.0569019149,28.8149869989,36.1386957892,104.788313484,950,7.05661559442
19,23.8189547512,22.0897722646,39.6371060619,100.788545333,1000,6.59717420778
20,31.0927602373,33.0212762999,47.9076220628,89.3510313568,1050,6.99403087805
21,29.3062400586,29.6688341985,48.0781364399,124.639566199,1100,6.14744730277
22,34.7861103,50.3916533836,40.0540349355,168.6434354,1150,6.44807376439
23,26.9679757258,40.5933677836,41.854249167,132.455618538,1200,6.10422108256
24,44.403689515,34.3486324058,41.4752630907,104.877292432,1250,5.80839901715
25,25.2555122142,37.2801810876,48.7158968872,109.30887906,1300,5.42462541934
26,20.7489222707,32.9737818768,40.3240686758,148.525582689,1350,5.32133700693
27,50.8210618052,33.5629482408,44.1913012557,127.266515626,1400,6.15969182388
28,52.3299884229,48.6833515491,48.9870523065,128.77314028,1450,5.67160505975
29,41.725889125,30.2239934227,47.3753402193,164.007266716,1500,5.19076406809
30,48.9496807346,32.6042520509,38.2903759374,109.765171245,1550,5.01500068252
31,17.4847209281,23.9374145116,38.8105594325,159.099382885,1600,4.50324336715
32,37.1868023306,35.1037891704,38.9495124312,116.081661121,1650,4.79503577692
33,39.8100148205,28.2610099992,40.0736546711,143.997878224,1700,4.62960079742
34,34.074366281,28.4428704424,57.4172319904,144.474021381,1750,4.32698757675
35,38.4448229384,27.6848986316,47.97469366,162.528164527,1800,4.38589781705
36,31.6416474693,30.2203186057,51.4774695758,166.68646895,1850,4.53343587274
37,32.422333914,35.5145585632,44.8878551113,138.84777923,1900,4.38107134361
38,18.6754148839,32.1670225066,47.8144858001,126.189322232,1950,4.14759985612
39,48.3836907224,38.516374763,57.2150414292,204.691432779,2000,4.15225489764
40,32.1171576094,26.6940198256,60.4340666458,159.400242131,2050,3.93280493891
41,30.0075699149,43.888003172,59.4268061825,177.795077585,2100,3.90537518415
42,34.5938657659,44.6719474924,60.4307815733,192.577930948,2150,4.17101188026
43,34.320104367,28.5770217241,58.7338747802,192.138575273,2200,3.76546857122
44,31.4203235185,38.919789086,48.4230891934,144.231592379,2250,3.89750880248
